SAMPLE_DATA_TYPE,pAC50,smiles
flor 40 hr,7.378660554,CNCCCC24CCC(c1ccccc12)c3ccccc34
glo 40 hr,7.428660554,CNCCCC24CCC(c1ccccc12)c3ccccc34
flor 40 hr,7.428660554,Cl.Oc1ccc(cc1)c3sc2cc(O)ccc2c3C(=O)c5ccc(OCCN4CCCCC4)cc5
flor 40 hr,7.428660554,O=C2C=C(C)C(=O)c1ccccc12
flor 40 hr,7.278660554,Cl.CCCCOc1ccc(cc1)C(=O)CCN2CCCCC2
glo 40 hr,6.828660554,Cl.CCCCOc1ccc(cc1)C(=O)CCN2CCCCC2
flor 40 hr,7.378660554,COc1cc(cc(OC)c1OC)C(=O)OCCCN3CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC3
flor 40 hr,7.428660554,Fc1ccc(cc1)[C@@H]4CCNC[C@H]4COc2ccc3OCOc3c2
flor 40 hr,6.178660554,[Br-].CC[n+]3c4cc(N)ccc4c1ccc(N)cc1c3c2ccccc2
flor 40 hr,7.328660554,Cl.Cc4cc(C)cc(C)c4\N=C2/C=C1c3cc(OC)c(OC)cc3CCN1C(=O)N2C
flor 40 hr,7.478660554,OC(CN1CCN(CC1)c2ccccc2OC)COc4cccc3ccccc34
flor 40 hr,6.778660554,[Br-].COc1ccc(cc1)CN(CC[N+](C)(C)CCCCCCCCCCCCCCCC)c2ncccn2
glo 40 hr,6.728660554,[Br-].COc1ccc(cc1)CN(CC[N+](C)(C)CCCCCCCCCCCCCCCC)c2ncccn2
flor 40 hr,7.228660554,Cl.Clc1ccc(cc1Cl)[C@@H]3CC[C@H](NC)c2ccccc23
glo 40 hr,7.378660554,Cl.Clc1ccc(cc1Cl)[C@@H]3CC[C@H](NC)c2ccccc23
flor 40 hr,6.367424559,Clc2cc(ccc2NC(=O)c1cc(Cl)ccc1O)[N+]([O-])=O
glo 40 hr,6.067424559,Clc2cc(ccc2NC(=O)c1cc(Cl)ccc1O)[N+]([O-])=O
flor 40 hr,7.378660554,OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc2ccccc2.O=C(O)c2ccc1ccccc1c2O
flor 40 hr,6.928660554,[Cl-].CC(C)(C)CC(C)(C)c2ccc(OCCOCC[N+](C)(C)Cc1ccccc1)cc2C
glo 40 hr,6.928660554,[Cl-].CC(C)(C)CC(C)(C)c2ccc(OCCOCC[N+](C)(C)Cc1ccccc1)cc2C
flor 40 hr,7.428660554,Cl.Nc2nc(N)ccc2/N=N/c1ccccc1
flor 40 hr,7.278660554,CN(C)CCCSc2ccccc2NC(=O)/C=C/c1ccccc1
glo 40 hr,7.378660554,[I-].[I-].[I-].CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
flor 40 hr,7.378660554,O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.c1cccc2sc(nc12)NCCCOc4cc(CN3CCCCC3)ccc4
flor 40 hr,5.817424559,C[n+]2cc1c6OCOc6ccc1c3ccc4cc5OCOc5cc4c23
glo 40 hr,6.017424559,C[n+]2cc1c6OCOc6ccc1c3ccc4cc5OCOc5cc4c23
flor 40 hr,7.428660554,Cl.Clc1ccc(NC(=N)NC(=N)NC(C)C)cc1
flor 40 hr,5.428660554,O=C(OC)Nc1nc2cc(ccc2n1)C(=O)c3ccccc3
flor 40 hr,7.278660554,Oc1ccc(cc1)C(=C\C)/C(=C/C)c2ccc(O)cc2
flor 40 hr,7.378660554,CS(=O)(=O)O.COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4
flor 40 hr,7.428660554,Fc1ccc(cc1)C(=O)CCCN2CCC(O)(CC2)c3ccc(Cl)cc3
flor 40 hr,7.378660554,O=C(O)/C=C\C(=O)O.CN1CCN(CC1)C2Cc4ccccc4Sc3ccc(Cl)cc23
glo 40 hr,7.278660554,CC(C)[N+](C)(CCC(c1ccccc1)(C(N)=O)c2ccccc2)C(C)C
flor 40 hr,7.378660554,Oc1ccc(cc1O)[C@@H](O)[C@H](C)N
flor 40 hr,7.378660554,CN1CCN(CC1)C2Cc4ccccc4Sc3ccc(SC)cc23
flor 40 hr,7.378660554,O=C4CC[C@@]3(C)C(CC[C@@H]2[C@@H]3CC[C@@]1(C)[C@H]2CC[C@]1(C)O)=C4
flor 40 hr,6.828660554,[Br-].CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1
glo 40 hr,6.778660554,[Br-].CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1
